parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
12-Dichloropropane,1996,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Ethylene dibromide,2008,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Acetaldehyde,2002,Parts per billion Carbon,9.45,Atlanta-Sandy Springs-Roswell GA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Portland-Vancouver-Hillsboro OR-WA
1122-Tetrachloroethane,2015,Parts per billion Carbon,0,Rutland VT
Benzene,2011,Parts per billion Carbon,1.031364,Dallas-Fort Worth-Arlington TX
Cadmium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Davenport-Moline-Rock Island IA-IL
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Burlington-South Burlington VT
Manganese (TSP) STP,2012,Micrograms/cubic meter (25 C),0.01,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,Portland-South Portland ME
Ethylene dichloride,2004,Parts per billion Carbon,0,Augusta-Richmond County GA-SC
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Knoxville TN
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,State College PA
Dichloromethane,2001,Parts per billion Carbon,0.1,Indianapolis-Carmel-Anderson IN
trans-13-Dichloropropene,2014,Parts per billion Carbon,0,Sanford NC
Beryllium (TSP) STP,1995,Nanograms/cubic meter (25 C),6.1,Port Clinton OH
Tetrachloroethylene,2007,Parts per billion Carbon,0.01,Austin-Round Rock TX
Nickel PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Portland-South Portland ME
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00131,Riverside-San Bernardino-Ontario CA
Carbon tetrachloride,1998,Parts per billion Carbon,0.058571,Providence-Warwick RI-MA
Chloroform,2006,Parts per billion Carbon,0.02,San Jose-Sunnyvale-Santa Clara CA
Lead PM2.5 LC,1998,Micrograms/cubic meter (LC),0.0006,Idaho Falls ID
Vinyl chloride,2002,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
Tetrachloroethylene,2010,Parts per billion Carbon,0.03,Minneapolis-St. Paul-Bloomington MN-WI
trans-13-Dichloropropene,2010,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
1122-Tetrachloroethane,2012,Parts per billion Carbon,0,Lafayette-West Lafayette IN
Acetaldehyde,2009,Parts per billion Carbon,0.3,Baltimore-Columbia-Towson MD
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Tucson AZ
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,
Cadmium PM10 STP,2016,Nanograms/cubic meter (25 C),0,Orlando-Kissimmee-Sanford FL
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Benzene,2001,Parts per billion Carbon,6.477619,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00325,
Carbon tetrachloride,2010,Parts per billion Carbon,0.1,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0.00371,Davenport-Moline-Rock Island IA-IL
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Boise City ID
Acetaldehyde,2004,Parts per billion Carbon,1.6,Boston-Cambridge-Newton MA-NH
Chloroform,1997,Parts per billion Carbon,0.02,
cis-13-Dichloropropene,2008,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Chattanooga TN-GA
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0.001,Douglas GA
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.003,
Tetrachloroethylene,2008,Parts per billion Carbon,0.1,Lafayette-West Lafayette IN
Ethylene dichloride,2009,Parts per billion Carbon,0,Wilmington NC
Benzene,1995,Parts per billion Carbon,8.4,San Diego-Carlsbad CA
Beryllium PM10 STP,2011,Nanograms/cubic meter (25 C),0,Portland-Vancouver-Hillsboro OR-WA
Nickel PM10 STP,2014,Nanograms/cubic meter (25 C),0.37,Providence-Warwick RI-MA
Tetrachloroethylene,2015,Parts per billion Carbon,0,York-Hanover PA
Acetaldehyde,1999,Parts per billion Carbon,12.27,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.002,Homosassa Springs FL
Beryllium (TSP) STP,2014,Nanograms/cubic meter (25 C),0.2,Port Clinton OH
13-Butadiene,2001,Parts per billion Carbon,0,
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Cleveland-Elyria OH
Cadmium PM10 STP,2007,Nanograms/cubic meter (25 C),0.21,Phoenix-Mesa-Scottsdale AZ
Nickel PM2.5 LC,1997,Micrograms/cubic meter (LC),0,Show Low AZ
Ethylene dibromide,2006,Parts per billion Carbon,0,Providence-Warwick RI-MA
Ethylene dichloride,2012,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Riverside-San Bernardino-Ontario CA
13-Butadiene,2007,Parts per billion Carbon,0.2,McAllen-Edinburg-Mission TX
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),4e-05,
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00021,Tucson AZ
Arsenic (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Denver-Aurora-Lakewood CO
Carbon tetrachloride,2011,Parts per billion Carbon,0.1,Washington-Arlington-Alexandria DC-VA-MD-WV
12-Dichloropropane,2009,Parts per billion Carbon,0,Richmond VA
Cadmium PM10 STP,2008,Nanograms/cubic meter (25 C),0.02,Boise City ID
Trichloroethylene,2004,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Carbon tetrachloride,2000,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Chloroform,1993,Parts per billion Carbon,0.02,Buffalo-Cheektowaga-Niagara Falls NY
Carbon tetrachloride,1998,Parts per billion Carbon,0.06,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Knoxville TN
12-Dichloropropane,2006,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,
Chloroform,2014,Parts per billion Carbon,0.03,Lewiston-Auburn ME
Lead PM10 STP,2004,Micrograms/cubic meter (25 C),0.0025,Tampa-St. Petersburg-Clearwater FL
Lead PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00106,Bennington VT
Carbon tetrachloride,2013,Parts per billion Carbon,0.1,Chicago-Naperville-Elgin IL-IN-WI
Ethylene dibromide,2001,Parts per billion Carbon,0,
Chromium (TSP) STP,2011,Micrograms/cubic meter (25 C),0.001,Urban Honolulu HI
Formaldehyde,2011,Parts per billion Carbon,1.9,Minneapolis-St. Paul-Bloomington MN-WI
Chloroform,2014,Parts per billion Carbon,0.04,Houston-The Woodlands-Sugar Land TX
Benzene,2014,Parts per billion Carbon,0.54,Dallas-Fort Worth-Arlington TX
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Idaho Falls ID
Acrolein - Unverified,2002,Parts per billion Carbon,0.12,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Trichloroethylene,1992,Parts per billion Carbon,2.19,Chicago-Naperville-Elgin IL-IN-WI
12-Dichloropropane,2002,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Greenville-Anderson-Mauldin SC
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Kingsport-Bristol-Bristol TN-VA
Chloroform,1999,Parts per billion Carbon,0.1,New York-Newark-Jersey City NY-NJ-PA
Chloroform,1997,Parts per billion Carbon,0.04,San Francisco-Oakland-Hayward CA
Tetrachloroethylene,2008,Parts per billion Carbon,0.08,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0,San Diego-Carlsbad CA
Trichloroethylene,2008,Parts per billion Carbon,0.02,Burlington-South Burlington VT
Carbon tetrachloride,1990,Parts per billion Carbon,0.07,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2014,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Tetrachloroethylene,2013,Parts per billion Carbon,0.02,Tulsa OK
Cadmium PM10 STP,2009,Nanograms/cubic meter (25 C),0.03,Phoenix-Mesa-Scottsdale AZ
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00334,
Benzene,1996,Parts per billion Carbon,3.143478,Baltimore-Columbia-Towson MD
Chromium PM10 STP,1998,Nanograms/cubic meter (25 C),2,Fresno CA
Cadmium PM2.5 LC,2006,Micrograms/cubic meter (LC),0.004,Houston-The Woodlands-Sugar Land TX
Chromium PM10 STP,2016,Nanograms/cubic meter (25 C),2.53,Atlanta-Sandy Springs-Roswell GA
Chromium (TSP) STP,2000,Micrograms/cubic meter (25 C),0,Myrtle Beach-Conway-North Myrtle Beach SC-NC
Nickel PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Adrian MI
Manganese (TSP) STP,2007,Micrograms/cubic meter (25 C),0.02,El Centro CA
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00165,Beaumont-Port Arthur TX
Manganese (TSP) STP,2016,Micrograms/cubic meter (25 C),0.007,Washington-Arlington-Alexandria DC-VA-MD-WV
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00016,Sierra Vista-Douglas AZ
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
12-Dichloropropane,1994,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00045,Washington-Arlington-Alexandria DC-VA-MD-WV
Vinyl chloride,2003,Parts per billion Carbon,0.02,Minneapolis-St. Paul-Bloomington MN-WI
Trichloroethylene,2007,Parts per billion Carbon,0,San Diego-Carlsbad CA
Dichloromethane,2011,Parts per billion Carbon,0.06,Dallas-Fort Worth-Arlington TX
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.002,
Dichloromethane,1992,Parts per billion Carbon,0.15,Baltimore-Columbia-Towson MD
1122-Tetrachloroethane,2003,Parts per billion Carbon,0.01,Corpus Christi TX
Arsenic (TSP) STP,2004,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,2012,Parts per billion Carbon,0,Beaver Dam WI
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Birmingham-Hoover AL
Benzene,2000,Parts per billion Carbon,0.977273,New York-Newark-Jersey City NY-NJ-PA
Benzene,2012,Parts per billion Carbon,0.618,San Diego-Carlsbad CA
12-Dichloropropane,1996,Parts per billion Carbon,0,Lake Charles LA
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Dover DE
Ethylene dichloride,1993,Parts per billion Carbon,0.16,Minneapolis-St. Paul-Bloomington MN-WI
Benzene,2011,Parts per billion Carbon,2.176818,Odessa TX
Carbon tetrachloride,2007,Parts per billion Carbon,0.08,Beaumont-Port Arthur TX
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00116,
Formaldehyde,2006,Parts per billion Carbon,3.7,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,2000,Parts per billion Carbon,0.1,Houston-The Woodlands-Sugar Land TX
Ethylene dibromide,2016,Parts per billion Carbon,0,Bangor ME
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Chloroform,2000,Parts per billion Carbon,0.02,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM10 STP,2014,Nanograms/cubic meter (25 C),0.59,
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.003,Kahului-Wailuku-Lahaina HI
Cadmium (TSP) STP,1996,Micrograms/cubic meter (25 C),0.0003,
Nickel PM2.5 LC,2016,Micrograms/cubic meter (LC),0,La Grande OR
Trichloroethylene,2012,Parts per billion Carbon,0.1,Providence-Warwick RI-MA
Lead PM10 STP,2009,Micrograms/cubic meter (25 C),0.001,Tampa-St. Petersburg-Clearwater FL
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0.005,Lawton OK
12-Dichloropropane,2010,Parts per billion Carbon,0.03,Washington-Arlington-Alexandria DC-VA-MD-WV
Formaldehyde,2000,Parts per billion Carbon,1.6,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese (TSP) STP,1990,Micrograms/cubic meter (25 C),0.022,Chico CA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Hilo HI
13-Butadiene,2004,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Tucson AZ
Ethylene dibromide,2008,Parts per billion Carbon,0,Richmond VA
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Ponca City OK
Vinyl chloride,1997,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.004,New York-Newark-Jersey City NY-NJ-PA
Chromium (TSP) STP,2002,Micrograms/cubic meter (25 C),0.006,Los Angeles-Long Beach-Anaheim CA
Tetrachloroethylene,1996,Parts per billion Carbon,0.241,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Duluth MN-WI
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,
Chromium VI (TSP) STP,2010,Micrograms/cubic meter (25 C),3e-05,Boston-Cambridge-Newton MA-NH
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Lawrenceburg TN
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Washington-Arlington-Alexandria DC-VA-MD-WV
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.002,Houston-The Woodlands-Sugar Land TX
Trichloroethylene,2008,Parts per billion Carbon,0,Austin-Round Rock TX
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Bowling Green KY
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Tucson AZ
Vinyl chloride,2011,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Carbon tetrachloride,1992,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Benzene,2014,Parts per billion Carbon,0.092353,Chicago-Naperville-Elgin IL-IN-WI
Nickel (TSP) STP,1992,Micrograms/cubic meter (25 C),0.007,Modesto CA
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00092,Grants Pass OR
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Pittsburgh PA
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00103,Riverside-San Bernardino-Ontario CA
Benzene,1997,Parts per billion Carbon,1.4,Beaumont-Port Arthur TX
Cadmium PM10 STP,2005,Nanograms/cubic meter (25 C),0.12,Spokane-Spokane Valley WA
Carbon tetrachloride,2016,Parts per billion Carbon,0.1,Buffalo-Cheektowaga-Niagara Falls NY
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Vinyl chloride,2006,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
1122-Tetrachloroethane,2001,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Decatur IL
Ethylene dichloride,2014,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Arsenic PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00036,
Arsenic PM10 STP,2014,Nanograms/cubic meter (25 C),1.12,Providence-Warwick RI-MA
Tetrachloroethylene,1996,Parts per billion Carbon,0.14,Burlington-South Burlington VT
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00212,
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Tetrachloroethylene,2004,Parts per billion Carbon,0.4,Providence-Warwick RI-MA
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Decatur IL
Cadmium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Chicago-Naperville-Elgin IL-IN-WI
Trichloroethylene,2014,Parts per billion Carbon,0,
Nickel (TSP) STP,2008,Micrograms/cubic meter (25 C),0.004,
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,New York-Newark-Jersey City NY-NJ-PA
13-Butadiene,1996,Parts per billion Carbon,0.5,Fresno CA
Ethylene dichloride,2015,Parts per billion Carbon,0.17,Paducah KY-IL
Arsenic (TSP) STP,1993,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Nickel (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Topeka KS
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0.002,Monroe MI
Chromium PM2.5 LC,2016,Micrograms/cubic meter (LC),0,
Tetrachloroethylene,2007,Parts per billion Carbon,0.1,Boise City ID
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,St. Louis MO-IL
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Omaha-Council Bluffs NE-IA
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0018,Nashville-Davidson--Murfreesboro--Franklin TN
1122-Tetrachloroethane,2003,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Manganese PM10 STP,2012,Nanograms/cubic meter (25 C),10.3,Huntington-Ashland WV-KY-OH
Benzene,2002,Parts per billion Carbon,3.540909,El Paso TX
Formaldehyde,2013,Parts per billion Carbon,1,
Chromium VI (TSP) STP,2010,Micrograms/cubic meter (25 C),0,Grand Junction CO
Tetrachloroethylene,2013,Parts per billion Carbon,0.02,Laredo TX
Chromium PM2.5 LC,1998,Micrograms/cubic meter (LC),0,Elko NV
Benzene,2004,Parts per billion Carbon,4.908636,Houston-The Woodlands-Sugar Land TX
13-Butadiene,2009,Parts per billion Carbon,0.056,Knoxville TN
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Modesto CA
Vinyl chloride,2014,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Tetrachloroethylene,2003,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
Trichloroethylene,1998,Parts per billion Carbon,0.12,Baltimore-Columbia-Towson MD
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0,South Bend-Mishawaka IN-MI
Arsenic PM2.5 LC,1991,Micrograms/cubic meter (LC),0,Fort Collins CO
13-Butadiene,2008,Parts per billion Carbon,0.2,
Nickel PM2.5 LC,1993,Micrograms/cubic meter (LC),0,Flagstaff AZ
Dichloromethane,2016,Parts per billion Carbon,0.07,San Francisco-Oakland-Hayward CA
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00025,Burlington-South Burlington VT
Nickel PM10 STP,2004,Nanograms/cubic meter (25 C),1.52,Atlanta-Sandy Springs-Roswell GA
Arsenic PM2.5 LC,1994,Micrograms/cubic meter (LC),0.0004,Bishop CA
Ethylene dibromide,1994,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.004,Fargo ND-MN
Chromium (TSP) STP,2001,Micrograms/cubic meter (25 C),0.004,Detroit-Warren-Dearborn MI
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0025,Los Angeles-Long Beach-Anaheim CA
Carbon tetrachloride,2016,Parts per billion Carbon,0.1,Chicago-Naperville-Elgin IL-IN-WI
Acetaldehyde,1998,Parts per billion Carbon,0.5,Minneapolis-St. Paul-Bloomington MN-WI
Manganese (TSP) STP,2009,Micrograms/cubic meter (25 C),0.01,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Sacramento--Roseville--Arden-Arcade CA
Benzene,2006,Parts per billion Carbon,1.5,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,Barnstable Town MA
Cadmium (TSP) STP,2009,Micrograms/cubic meter (25 C),6e-05,Washington-Arlington-Alexandria DC-VA-MD-WV
Dichloromethane,2015,Parts per billion Carbon,0.09,Miami-Fort Lauderdale-West Palm Beach FL
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0,
12-Dichloropropane,1994,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.002,Rochester NY
Chromium PM2.5 LC,1999,Micrograms/cubic meter (LC),0.00149,Glenwood Springs CO
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00045,New Orleans-Metairie LA
Cadmium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Detroit-Warren-Dearborn MI
1122-Tetrachloroethane,1998,Parts per billion Carbon,0.2,Baton Rouge LA
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Houston-The Woodlands-Sugar Land TX
Arsenic PM10 STP,2000,Nanograms/cubic meter (25 C),11,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,
Ethylene dichloride,2014,Parts per billion Carbon,0,Rochester NY
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Visalia-Porterville CA
Benzene,2012,Parts per billion Carbon,0.642381,Houston-The Woodlands-Sugar Land TX
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM10 STP,2009,Nanograms/cubic meter (25 C),0.08,La Grande OR
Vinyl chloride,2013,Parts per billion Carbon,0,Wheeling WV-OH
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Kingsville TX
Benzene,2016,Parts per billion Carbon,0.791579,Beaumont-Port Arthur TX
Carbon tetrachloride,2007,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Tulsa OK
cis-13-Dichloropropene,2002,Parts per billion Carbon,0.02,Dallas-Fort Worth-Arlington TX
Beryllium (TSP) STP,2002,Nanograms/cubic meter (25 C),0.1,Port Clinton OH
cis-13-Dichloropropene,2008,Parts per billion Carbon,0,Marshall TX
13-Butadiene,2005,Parts per billion Carbon,0.22,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00242,Visalia-Porterville CA
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0.002,St. Louis MO-IL
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Des Moines-West Des Moines IA
Cadmium PM2.5 LC,2010,Micrograms/cubic meter (LC),0.015,Chicago-Naperville-Elgin IL-IN-WI
Tetrachloroethylene,2011,Parts per billion Carbon,0.12,Grand Junction CO
Lead PM10 STP,1990,Micrograms/cubic meter (25 C),0,
Carbon tetrachloride,2008,Parts per billion Carbon,0.09,Boston-Cambridge-Newton MA-NH
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Bowling Green KY
Ethylene dibromide,2003,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Nickel PM2.5 LC,1990,Micrograms/cubic meter (LC),0.00025,Flagstaff AZ
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,La Grande OR
Acrolein - Unverified,1999,Parts per billion Carbon,0.12,Washington-Arlington-Alexandria DC-VA-MD-WV
Ethylene dichloride,2011,Parts per billion Carbon,0,Cleveland-Elyria OH
Cadmium (TSP) STP,1995,Micrograms/cubic meter (25 C),0.003,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Ethylene dibromide,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Ogden-Clearfield UT
